"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"令和3年秋期　問11 188問目／選択範囲の問題数675問","ネットワークカメラなどのIoT機器ではTCP23番ポートへの攻撃が多い理由はどれか。","","TCP23番ポートはIoT機器の操作用プロトコルで使用されており，そのプロトコルを用いると，初期パスワードを使って不正ログインが容易に成功し，不正にIoT機器を操作できることが多いから","TCP23番ポートはIoT機器の操作用プロトコルで使用されており，そのプロトコルを用いると，マルウェアを添付した電子メールをIoT機器に送信するという攻撃ができることが多いから","TCP23番ポートはIoT機器へのメール送信用プロトコルで使用されており，そのプロトコルを用いると，初期パスワードを使って不正ログインが容易に成功し，不正にIoT機器を操作できることが多いから","TCP23番ポートはIoT機器へのメール送信用プロトコルで使用されており，そのプロトコルを用いると，マルウェアを添付した電子メールをIoT機器に送信するという攻撃ができることが多いから","A"
"令和元年秋期　問19 189問目／選択範囲の問題数675問","IPv4ネットワークにおいて，IPパケットの分割処理と，分割されたパケットを元に戻す再構築処理に関する記述のうち，適切なものはどれか。","","IPパケットの再構築処理は宛先のホストで行われる。","IPパケットの再構築処理は中継するルータで行われる。","IPパケットの分割処理は送信元のホストだけで行われる。","IPパケットの分割処理は中継するルータだけで行われる。","A"
"令和3年春期　問7 190問目／選択範囲の問題数675問","NISTが制定した，AESにおける鍵長の条件はどれか。","","128ビット，192ビット，256ビットから選択する。","256ビット未満で任意に指定する。","暗号化処理単位のブロック長よりも32ビット長くする。","暗号化処理単位のブロック長よりも32ビット短くする。","A"
"令和4年春期　問21 191問目／選択範囲の問題数675問","データウェアハウスのメタデータに関する記述のうち，データリネージはどれか。","","誰がどのデータを見てよいかを示す情報であり，適切なアクセス制御を目的として設定される。","データが誰によって作られ管理されているかを示す情報であり，データ構造やデータ辞書を見ても意味が分からないときの問合せ先を表す。","データがどこから発生し，どのような変換及び加工を経て，現在の形になったかを示す情報であり，データの生成源の特定又は障害時の影響調査に利用できる。","データ構造がどのように定義されているかを示す情報であり，Webサイトなどに公開して検索できるようにする。","U"
"平成27年秋期　問8 192問目／選択範囲の問題数675問","水飲み場型攻撃(Watering Hole Attack)の手口はどれか。","","アイコンを文書ファイルのものに偽装した上で，短いスクリプトを埋め込んだショートカットファイル(LNKファイル)を電子メールに添付して標的組織の従業員に送信する。","事務連絡などのやり取りを行うことで，標的組織の従業員の気を緩めさせ，信用させた後，攻撃コードを含む実行ファイルを電子メールに添付して送信する。","標的組織の従業員が頻繁にアクセスするWebサイトに攻撃コードを埋め込み，標的組織の従業員がアクセスしたときだけ攻撃が行われるようにする。","ミニブログのメッセージにおいて，ドメイン名を短縮してリンク先のURLを分かりにくくすることによって，攻撃コードを埋め込んだWebサイトに標的組織の従業員を誘導する。","U"
"平成23年特別　問21 193問目／選択範囲の問題数675問","次のSQL文をA表の所有者が発行した場合を説明したものはどれか。","","A表に関する，SELECT権限，UPDATE権限，INSERT権限，DELETE権限などのすべての権限，及びそれらの付与権限を利用者Bに対して付与する。","A表に関する，SELECT権限，UPDATE権限，INSERT権限，DELETE権限などのすべての権限を利用者Bに対して付与するが，それらの権限の付与権限は付与しない。","A表に関する，SELECT権限，UPDATE権限，INSERT権限，DELETE権限は与えないが，それらのすべての付与権限だけを利用者Bに対して付与する。","A表に関する，SELECT権限，及びSELECT権限の付与権限を利用者Bに対して付与し，UPDATE権限，INSERT権限，DELETE権限，及びそれらの付与権限は付与しない。","A"
"平成26年秋期　問1 194問目／選択範囲の問題数675問","PKIを構成するOCSPを利用する目的はどれか。","","誤って破棄してしまった秘密鍵の再発行処理の進捗状況を問い合わせる。","ディジタル証明書から生成した鍵情報の交換がOCSPクライアントとレスポンダの間で失敗した際，認証状態を確認する。","ディジタル証明書の失効情報を問い合わせる。","有効期限の切れたディジタル証明書の更新処理の進捗状況を確認する。","U"
"平成28年秋期　問15 195問目／選択範囲の問題数675問","IPsecに関する記述のうち，適切なものはどれか。","","IKEはIPsecの鍵交換のためのプロトコルであり，ポート番号80が使用される。","暗号化アルゴリズムとして，HMAC-SHA1が使用される。","トンネルモードを使用すると，暗号化通信の区間において，エンドツーエンドの通信で用いる元のIPのヘッダを含めて暗号化できる。","ホストAとホストBとの間でIPsecによる通信を行う場合，認証や暗号化アルゴリズムを両者で決めるためにESPヘッダでなくAHヘッダを使用する。","U"
"平成29年春期　問11 196問目／選択範囲の問題数675問","インターネットバンキングの利用時に被害をもたらすMITB(Man-in-the-Browser)攻撃に有効な対策はどれか。","","インターネットバンキングでの送金時にWebブラウザで利用者が入力した情報と，金融機関が受信した情報とに差異がないことを検証できるよう，トランザクション署名を利用する。","インターネットバンキングでの送金時に接続するWebサイトの正当性を確認できるよう，EV SSLサーバ証明書を採用する。","インターネットバンキングでのログイン認証において，一定時間ごとに自動的に新しいパスワードに変更されるワンタイムパスワードを用意する。","インターネットバンキング利用時の通信をSSLではなくTLSを利用して暗号化する。","A"
"平成27年秋期　問13 197問目／選択範囲の問題数675問","WebサーバがHTTPS通信の応答でcookieにSecure属性を設定したときのブラウザの処理はどれか。","","ブラウザは，cookieの""Secure=""に続いて指定された時間を参照し，指定された時間を過ぎている場合にそのcookieを削除する。","ブラウザは，cookieの""Secure=""に続いて指定されたホスト名を参照し，指定されたホストにそのcookieを送信する。","ブラウザは，cookieの""Secure""を参照し，HTTPS通信時だけそのcookieを送信する。","ブラウザは，cookieの""Secure""を参照し，ブラウザの終了時にそのcookieを削除する。","U"
"平成28年秋期　問14 198問目／選択範囲の問題数675問","IEEE802.1Xで使われるEAP-TLSによって実現される認証はどれか。","","CHAPを用いたチャレンジレスポンスによる利用者認証","あらかじめ登録した共通鍵によるサーバ認証と，時刻同期のワンタイムパスワードによる利用者認証","ディジタル証明書による認証サーバとクライアントの相互認証","利用者IDとパスワードによる利用者認証","U"
"令和3年秋期　問10 199問目／選択範囲の問題数675問","cookieにSecure属性を設定しなかったときと比較した，設定したときの動作として，適切なものはどれか。","","cookieに指定された有効期間を過ぎると，cookieが無効化される。","JavaScriptによるcookieの読出しが禁止される。","URL内のスキームがhttpsのときだけ，Webブラウザからcookieが送出される。","WebブラウザがアクセスするURL内のパスとcookieによって指定されたパスのプレフィックスが一致するときだけ，WebブラウザからCookieが送出される。","U"
"平成23年特別　問1 200問目／選択範囲の問題数675問","AESの暗号化方式を説明したものはどれか。","","鍵長によって，段数が決まる。","段数は，6回以内の範囲で選択できる。","データの暗号化，復号，暗号化の順に3回繰り返す。","同一の公開鍵を用いて暗号化を3回繰り返す。","A"
"令和2年秋期　問17 201問目／選択範囲の問題数675問","インターネットサービスプロバイダ(ISP)が，スパムメール対策として導入するIP25Bに該当するものはどれか。","","自社ISPのネットワークの動的IPアドレスから他社ISPの管理するメールサーバへのSMTP通信を制限する。","自社ISPのメールサーバで受信した電子メールのうち，スパムメールのシグネチャに一致する電子メールを隔離する。","他社ISPのネットワークの動的IPアドレスから自社ISPのメールサーバへのSMTP通信を制限する。","他社ISPのメール不正中継の脆弱性をもつメールサーバから自社ISPのメールサーバに送信された電子メールを隔離する。","U"
"平成27年春期　問21 202問目／選択範囲の問題数675問","分散トランザクション処理で利用される2相コミットプロトコルでは，コミット処理を開始する調停者(coordinator)と，調停者からの指示を受信してから必要なアクションを開始する参加者(participant)がいる。この2相コミットプロトコルに関する記述のうち，適切なものはどれか。","","参加者は，フェーズ1で調停者にコミット了承の応答を返してしまえば，フェーズ2のコミット要求を受信しなくても，ローカルにコミット処理が進められる。","調停者に障害が発生するタイミングによっては，その回復処理が終わらない限り，参加者全員がコミットもロールバックも行えない事態が起こる。","一つの分散トランザクションに複数の調停者及び参加者が存在し得る。例えば，5個のシステム(プログラム)が関与している場合，調停者数が2，参加者の数が3となり得る。","フェーズ1で返答のない参加者が存在しても，調停者は強制的にそのトランザクションをコミットすることができる。","I"
"令和2年秋期　問11 203問目／選択範囲の問題数675問","JIS X 9401:2016(情報技術－クラウドコンピューティング－概要及び用語)の定義によるクラウドサービス区分の一つであり，クラウドサービスカスタマが表中の項番1と2の責務を負い，クラウドサービスプロバイダが項番3～5の責務を負うものはどれか。","","HaaS","IaaS","PaaS","SaaS","U"
"平成22年秋期　問6 204問目／選択範囲の問題数675問","DMZ上に公開しているWebサーバで入力データを受け付け，内部ネットワークのDBサーバにそのデータを蓄積するシステムがある。インターネットからDMZを経由してなされるDBサーバへの不正侵入対策の一つとして，DMZと内部ネットワークとの間にファイアウォールを設置するとき，最も有効な設定はどれか。","","DBサーバの受信ポート番号を固定し，WebサーバからDBサーバの受信ポート番号への通信だけをファイアウォールで通す。","DMZからDBサーバへの通信だけをファイアウォールで通す。","Webサーバの発信ポート番号は任意のポート番号を使用し，ファイアウォールでは，いったん終了した通信と同じ発信ポート番号を使った通信を拒否する。","Webサーバの発信ポート番号を固定し，その発信ポート番号からの通信だけをファイアウォールで通す。","A"
"平成26年秋期　問16 205問目／選択範囲の問題数675問","認証にクライアント証明書を用いるプロトコルはどれか。","","EAP-MD5","EAP-PEAP","EAP-TLS","EAP-TTLS","U"
"平成30年秋期　問6 206問目／選択範囲の問題数675問","経済産業省とIPAが策定した""サイバーセキュリティ経営ガイドライン(Ver2.0)""の説明はどれか。","","企業がIT活用を推進していく中で，サイバー攻撃から企業を守る観点で経営者が認識すべき3原則と，情報セキュリティ対策を実施する上での責任者となる担当幹部に，経営者が指示すべき事項をまとめたもの","経営者が情報セキュリティについて方針を示し，マネジメントシステムの要求事項を満たすルールを定め，組織が保有する情報資産をCIAの観点から維持管理し，継続的に見直すためのプロセス及び管理策を体系的に規定したもの","事業体のITに関する経営者の活動を，大きくITガバナンス(統制)とITマネジメント(管理)に分割し，具体的な目標と工程として40のプロセスを定義したもの","世界的規模で生じているサイバーセキュリティ上の脅威の深刻化に関して，企業の経営者を支援する施策を総合的かつ効果的に推進するための国の責務を定めたもの","A"
"平成25年春期　問8 207問目／選択範囲の問題数675問","CSIRTの説明として，適切なものはどれか。","","IPアドレスの割当て方針の決定，DNSルートサーバの運用監視，DNS管理に関する調整などを世界規模で行う組織である。","インターネットに関する技術文書を作成し，標準化のための検討を行う組織である。","国レベルや企業・組織内に設置され，コンピュータセキュリティインシデントに関する報告を受け取り，調査し，対応活動を行う組織の総称である。","情報技術を利用し，信教や政治的な目標を達成するという目的をもった人や組織の総称である。","U"
"平成30年秋期　問3 208問目／選択範囲の問題数675問","ブロックチェーンに関する記述のうち，適切なものはどれか。","","RADIUSが必須の技術であり，参加者の利用者認証を一元管理するために利用する。","SPFが必須の技術であり，参加者間で電子メールを送受信するときに送信元の正当性を確認するために利用する。","楕円曲線暗号が必須の技術であり，参加者間のP2P(Peer to Peer)ネットワークを暗号化するために利用する。","ハッシュ関数が必須の技術であり，参加者がデータの改ざんを検出するために利用する。","E"
"平成21年秋期　問13 209問目／選択範囲の問題数675問","レイヤ2スイッチや無線LANアクセスポイントで接続を許可する仕組みはどれか。","","DHCP","Webシングルサインオン","認証VLAN","パーソナルファイアウォール","U"
"平成26年秋期　問10 210問目／選択範囲の問題数675問","標準化団体OASISが，Webサイト間で認証，属性及び認可の情報を安全に交換するために策定したフレームワークはどれか。","","SAML","SOAP","XKMS","XML Signature","A"
"平成30年秋期　問7 211問目／選択範囲の問題数675問","UDPの性質を悪用したDDoS攻撃に該当するものはどれか。","","DNSリフレクタ攻撃","SQLインジェクション攻撃","ディレクトリトラバーサル攻撃","パスワードリスト攻撃","A"
"平成21年秋期　問16 213問目／選択範囲の問題数675問","ネットワークのQoSで使用されるトラフィック制御方式に関する説明のうち，適切なものはどれか。","","通信を開始する前にネットワークに対して帯域などのリソースを要求し，確保の状況に応じて通信を制御することを，アドミッション制御という。","入力されたトラフィックが規定された最大速度を超過しないか監視し，超過分のパケットを破棄するか優先度を下げる制御を，シェーピングという。","パケットの送出間隔を調整することによって，規定された最大速度を超過しないようにトラフィックを平準化する制御を，ポリシングという。","フレームの種類やあて先に応じて優先度を変えて中継することを，ベストエフォートという。","A"
"平成26年秋期　問24 214問目／選択範囲の問題数675問","JIS Q 20000-1で定義されるインシデントに該当するものはどれか。","","ITサービスの新人向け教育の依頼","ITサービスやシステムの機能，使い方に対する問合せ","アプリケーションの応答の大幅な遅延","新設営業所へのITサービス提供要求","U"
"平成23年秋期　問1 215問目／選択範囲の問題数675問","DNSSEC(DNS Security Extension)の機能はどれか。","","DNSキャッシュサーバの設定によって再帰的な問合せの受付範囲が最大限になるように拡張する。","DNSサーバから受け取るリソースレコードに対するディジタル署名を利用して，リソースレコードの送信者の正当性とデータの完全性を検証する。","ISPなどのセカンダリDNSサーバを利用してDNSコンテンツサーバを二重化することで名前解決の可用性を高める。","共通鍵暗号技術とハッシュ関数を利用したセキュアな方法で，DNS更新要求が許可されているエンドポイントを特定し認証する。","I"
"平成28年秋期　問6 216問目／選択範囲の問題数675問","リスクベース認証に該当するものはどれか。","","インターネットからの全てのアクセスに対し，トークンで生成されたワンタイムパスワードで認証する。","インターネットバンキングでの連続する取引において，取引の都度，乱数表の指定したマス目にある英数字を入力させて認証する。","利用者のIPアドレスなどの環境を分析し，いつもと異なるネットワークからのアクセスに対して追加の認証を行う。","利用者の記憶，持ち物，身体の特徴のうち，必ず二つ以上の方式を組み合わせて認証する。","U"
"平成30年秋期　問22 217問目／選択範囲の問題数675問","図のような階層構造で設計及び実装した組込みシステムがある。このシステムの開発プロジェクトにおいて，デバイスドライバ層の単体テスト工程が未終了で，アプリケーション層及びミドルウェア層の単体テストが先に終了した。この段階で行うソフトウェア結合テストの方式として，適切なものはどれか。","","サンドイッチテスト","トップダウンテスト","ビッグバンテスト","ボトムアップテスト","I"
"平成25年春期　問3 218問目／選択範囲の問題数675問","PKIを構成するOCSP(Online Certificate Status Protocol)を利用する目的はどれか。","","誤って破棄してしまった秘密鍵の再発行処理の進捗状況を問い合わせる。","ディジタル証明書から生成した鍵情報の交換がOCSPクライアントとレスポンダの間で失敗した際，認証状態を確認する。","ディジタル証明書の失効情報を問い合わせる。","有効期限の切れたディジタル証明書の更新処理の進捗状況を確認する。","U"
"平成21年秋期　問9 219問目／選択範囲の問題数675問","コンピュータフォレンジクスの説明として，適切なものはどれか。","","あらかじめ設定した運用基準に従って，メールサーバを通過する送受信メールをフィルタリングすること","磁気ディスクなどの書換え可能な記憶媒体を単に初期化するだけではデータを復元される可能性があるので，覆い隠すように上書きすること","不正アクセスなどコンピュータに関する犯罪の法的な証拠性を確保できるように，原因究明に必要な情報を保全，収集して分析すること","ホストに対する外部からの攻撃や不正なアクセスを防御すること","U"
"令和3年秋期　問2 220問目／選択範囲の問題数675問","Pass the Hash攻撃はどれか。","","パスワードのハッシュ値から導出された平文パスワードを使ってログインする。","パスワードのハッシュ値だけでログインできる仕組みを悪用してログインする。","パスワードを固定し，利用者IDの文字列のハッシュ化を繰り返しながら様々な利用者IDを試してログインする。","ハッシュ化されずに保存されている平文パスワードを使ってログインする。","I"
"平成23年秋期　問24 221問目／選択範囲の問題数675問","情報システムの設計において，フェールソフトが講じられているのはどれか。","","UPS装置を設置することで，停電時に手順どおりにシステムを停止できるようにし，データを保全する。","制御プログラムの障害時に，システムの暴走を避け，安全に運転を停止できるようにする。","ハードウェア障害時に，パフォーマンスは低下するが，構成を縮小して運転を続けられるようにする。","利用者の誤操作や誤入力を未然に防ぐことで，システムの誤動作を防止できるようにする。","U"
"平成28年春期　問4 222問目／選択範囲の問題数675問","標準化団体OASISが，Webサイト間で認証，属性及び認可の情報を安全に交換するために策定したフレームワークはどれか。","","SAML","SOAP","XKMS","XML Signature","A"
"令和3年秋期　問22 223問目／選択範囲の問題数675問","テスト担当者が，ソフトウェアを動作させてその動きを学習しながら，自身の経験に基づいて以降のテストを動的に計画して進めるテストの方法はどれか。","","実験計画法","状態遷移テスト","探索的テスト","モデルベースドテスト","U"
"平成24年秋期　問9 227問目／選択範囲の問題数675問","特定の情報資産の漏えいに関するリスク対応のうち，リスク回避に該当するものはどれか。","","外部の者が侵入できないように，入退出を厳重に管理する。","情報資産を外部のデータセンタに預託する。","情報の新たな収集を禁止し，収集済みの情報を消去する。","情報の重要性と対策費用を勘案し，あえて対策をとらない。","U"
"平成23年特別　問20 228問目／選択範囲の問題数675問","通信プロトコルで使用するデータ形式を記述するための記法であって，SNMPのパケットの符号化に利用されているものはどれか。","","ASN.1","JSON","SGML","SOAP","A"
"平成26年秋期　問17 229問目／選択範囲の問題数675問","サンドボックスの仕組みについて述べたものはどれか。","","Webアプリケーションの脆弱性を悪用する攻撃に含まれる可能性が高い文字列を定義し，攻撃であると判定した場合には，その通信を遮断する。","侵入者をおびき寄せるために本物そっくりのシステムを設置し，侵入者の挙動などを監視する。","プログラムの影響がシステム全体に及ばないように，プログラムが実行できる機能やアクセスできるリソースを制限して動作させる。","プログラムのソースコードでSQL文の雛(ひな)形の中に変数の場所を示す記号を置いた後，実際の値を割り当てる。","U"
"平成30年春期　問10 230問目／選択範囲の問題数675問","サイバー情報共有イニシアティブ(J-CSIP)の説明として，適切なものはどれか。","","サイバー攻撃対策に関する情報セキュリティ監査を参加組織間で相互に実施して，監査結果を共有する取組み","参加組織がもつデータを相互にバックアップして，サイバー攻撃から保護する取組み","セキュリティ製品のサイバー攻撃に対する有効性に関する情報を参加組織が取りまとめ，その情報を活用できるように公開する取組み","標的型サイバー攻撃などに関する情報を参加組織間で共有し，高度なサイバー攻撃対策につなげる取組み","E"
"平成23年秋期　問20 231問目／選択範囲の問題数675問","TCPヘッダに含まれる情報はどれか。","","宛先ポート番号","パケット生存時間(TTL)","発信元IPアドレス","プロトコル番号","A"
"平成26年春期　問12 232問目／選択範囲の問題数675問","脆弱性検査で，対象ホストに対してポートスキャンを行った。対象ポートの状態を判定する方法のうち，適切なものはどれか。","","対象ポートにSYNパケットを送信し，対象ホストから""RST/ACK""パケットを受信するとき，対象ポートが開いていると判定する。","対象ポートにSYNパケットを送信し，対象ホストから""SYN/ACK""パケットを受信するとき，対象ポートが閉じていると判定する。","対象ポートにUDPパケットを送信し，対象ホストからメッセージ""port unreachable""を受信するとき，対象ポートが閉じていると判定する。","対象ポートにUDPパケットを送信し，対象ホストからメッセージ""port unreachable""を受信するとき，対象ポートが開いていると判定する。","U"
"平成30年秋期　問10 233問目／選択範囲の問題数675問","JIS X 9401:2016(情報技術－クラウドコンピューティング－概要及び用語)の定義によるクラウドサービス区分の一つであり，クラウドサービスカスタマの責任者が表中の項番1と2の責務を負い，クラウドサービスプロバイダが項番3～5の責務を負うものはどれか。","","HaaS","IaaS","PaaS","SaaS","U"
"平成22年秋期　問18 234問目／選択範囲の問題数675問","LANの制御方式に関する記述のうち，適切なものはどれか。","","CSMA/CD方式では，単位時間当たりの送出フレーム数が増していくと，衝突の頻度が増すので，スループットはある値をピークとして，その後下がる。","CSMA/CD方式では，一つの装置から送出されたフレームが順番に各装置に伝送されるので，リング状のLANに適している。","TDMA方式では，伝送路上におけるフレームの伝送遅延時間による衝突が発生する。","トークンアクセス方式では，トークンの巡回によって送信権を管理しているので，トラフィックが増大すると，CSMA/CD方式に比べて伝送効率が急激に低下する。","A"
"令和3年秋期　問17 235問目／選択範囲の問題数675問","TLS1.3の暗号スイートに関する説明のうち，適切なものはどれか。","","TLS1.2で規定されている共通鍵暗号AES-CBCを必須の暗号アルゴリズムとして継続利用できるようにしている。","Wi-Fiアライアンスにおいて規格化されている。","サーバとクライアントのそれぞれがお互いに別の暗号アルゴリズムを選択できる。","認証暗号アルゴリズムとハッシュアルゴリズムの組みで構成されている。","E"
"平成26年秋期　問21 236問目／選択範囲の問題数675問","トランザクションA～Dに関する待ちグラフのうち，デッドロックが発生しているものはどれか。ここで，待ちグラフの矢印は，X→Yのとき，トランザクションXはトランザクションYがロックしている資源のアンロックを待っていることを表す。","","","","","","I"
"平成29年秋期　問6 237問目／選択範囲の問題数675問","DNSに対するカミンスキー攻撃(Kaminsky's attack)への対策はどれか。","","DNSキャッシュサーバと権威DNSサーバとの計2台の冗長構成とすることによって，過負荷によるサーバダウンのリスクを大幅に低減させる。","SPF(Sender Policy Framework)を用いてMXレコードを認証することによって，電子メールの送信元ドメインが詐称されていないかどうかを確認する。","問合せ時の送信元ポート番号をランダム化することによって，DNSキャッシュサーバに偽の情報がキャッシュされる確率を大幅に低減させる。","プレースホルダを用いたエスケープ処理を行うことによって，不正なSQL構文によるDNSリソースレコードの書換えを防ぐ。","U"
"平成23年秋期　問21 238問目／選択範囲の問題数675問","次数がnの関係Rには，属性なし(φ)も含めて異なる射影は幾つあるか。","","n","2n","n2","2n","E"
"平成28年秋期　問3 240問目／選択範囲の問題数675問","POODLE(CVE-2014-3566)攻撃の説明はどれか。","","SSL 3.0のサーバプログラムの脆弱性を突く攻撃であり，サーバのメモリに不正アクセスして秘密鍵を窃取できる。","SSL 3.0を使用した通信において，ブロック暗号のCBCモード利用時の脆弱性を突く攻撃であり，パディングを悪用して暗号化通信の内容を解読できる。","TLS 1.2のプロトコル仕様の脆弱性を突く攻撃であり，TLSの旧バージョンにダウングレードして暗号化通信の内容を解読できる。","TLS 1.2を使用した通信において，Diffie-Hellman鍵交換アルゴリズムの脆弱性を突く攻撃であり，交換されたセッション鍵を窃取して暗号化通信の内容を解読できる。","I"
"平成21年秋期　問23 241問目／選択範囲の問題数675問","開発した製品で利用している新規技術に関して特許の出願を行った。日本において特許権の取得ができないものはどれか。他に必要とされる要件は満たしているものとする。","","学会で技術内容を発表した日から11か月目に出願した。","顧客と守秘義務の確認を取った上で技術内容を説明した後，製品発表前に出願した。","製品に使用した暗号の生成式を出願した。","製品を発売した後に出願した。","U"
"令和3年春期　問15 242問目／選択範囲の問題数675問","HSTS(HTTP Strict Transport Security)の説明はどれか。","","HSTSを利用するWebサイトにWebブラウザがHTTPでアクセスした場合，Webブラウザから当該サイトへのその後のアクセスを強制的にHTTP over TLS(HTTPS)にする。","HSTSを利用するWebサイトにWebブラウザがHTTPでアクセスした場合，Webページの文書やスクリプトについて，あるオリジンから読み込まれたリソースから他のオリジンのリソースにアクセスできないように制限する。","HTTPSで通信が保護されている場合にだけ，cookieの属性によらず強制的にcookieを送信する。","信頼性が高いサーバ証明書を有するWebサイトとのHTTPS通信では，Webブラウザに鍵マークを表示する。","A"
"平成22年秋期　問1 243問目／選択範囲の問題数675問","シングルサインオンの説明のうち，適切なものはどれか。","","クッキーを使ったシングルサインオンの場合，サーバごとの認証情報を含んだクッキーをクライアントで生成し，各サーバ上で保存，管理する。","クッキーを使ったシングルサインオンの場合，認証対象の各サーバを異なるインターネットドメインに配置する必要がある。","リバースプロキシを使ったシングルサインオンの場合，認証対象の各Webサーバを異なるインターネットドメインに配置する必要がある。","リバースプロキシを使ったシングルサインオンの場合，利用者認証においてパスワードの代わりにディジタル証明書を用いることができる。","E"
"平成27年秋期　問24 244問目／選択範囲の問題数675問","入出力データの管理方針のうち，適切なものはどれか。","","出力帳票の受渡しは授受管理表などを用いて確実に行い，情報の重要度によっては業務部門の管理者に手渡しする。","出力帳票の利用状況を定期的に点検し，利用されていないと判断したものは，情報システム部門の判断で出力を停止する。","チェックによって発見された入力データの誤りは，情報システム部門の判断で修正する。","入力原票やEDI受信ファイルなどの取引情報は，機密性を確保するために，データをシステムに取り込んだら速やかに廃棄する。","A"
"令和3年春期　問2 245問目／選択範囲の問題数675問","PKIを構成するOCSPを利用する目的はどれか。","","誤って破棄してしまった秘密鍵の再発行処理の進捗状況を問い合わせる。","ディジタル証明書から生成した鍵情報の交換がOCSPクライアントとOCSPレスポンダの間で失敗した際，認証状態を確認する。","ディジタル証明書の失効情報を問い合わせる。","有効期限が切れたディジタル証明書の更新処理の進捗状況を確認する。","U"
"平成21年春期　問13 246問目／選択範囲の問題数675問","TCP/IPネットワークにおけるICMPの説明として，適切なものはどれか。","","MACアドレスだけが分かっているときにIPアドレスの解決を可能にする。","グローバルIPアドレスとプライベートIPアドレスを相互に変換する。","送信元ホストへ，IPパケットの送信エラー報告などの制御メッセージを通知する。","ネットワーク内のIPアドレスを一元管理し，クライアントに動的に割り当てる。","U"
"平成23年特別　問23 247問目／選択範囲の問題数675問","共通フレーム2007で取り決められているものはどれか。","","作成する文書の種類及び書式","信頼性，保守性などソフトウェアの品質尺度","適用すべき開発モデル，技法及びツール","プロセスごとの作業者の主体者(役割)と責任の所在","E"
"平成29年春期　問12 248問目／選択範囲の問題数675問","Webアプリケーションの脆弱性を悪用する攻撃手法のうち，Webページ上で入力した文字列がPerlのsystem関数やPHPのexec関数などに渡されることを利用し，不正にシェルスクリプトを実行させるものは，どれに分類されるか。","","HTTPヘッダインジェクション","OSコマンドインジェクション","クロスサイトリクエストフォージェリ","セッションハイジャック","I"
"平成27年春期　問8 249問目／選択範囲の問題数675問","総務省及び経済産業省が策定した""電子政府における調達のために参照すべき暗号のリスト(CRYPTREC 暗号リスト)""を構成する暗号リストの説明のうち，適切なものはどれか。","","推奨候補暗号リストとは，CRYPTRECによって安全性及び実装性能が確認された暗号技術のうち，市場における利用実績が十分であるか今後の普及が見込まれると判断され，当該技術の利用を推奨するもののリストである。","推奨候補暗号リストとは，候補段階に格下げされ，互換性維持目的で利用する暗号技術のリストである。","電子政府推奨暗号リストとは，CRYPTRECによって安全性及び実装性能が確認された暗号技術のうち，市場における利用実績が十分であるか今後の普及が見込まれると判断され，当該技術の利用を推奨するもののリストである。","電子政府推奨暗号リストとは，推奨段階に格下げされ，互換性維持目的で利用する暗号技術のリストである。","U"
"平成24年秋期　問3 250問目／選択範囲の問題数675問","SEO(Search Engine Optimization)ポイズニングの説明はどれか。","","Web検索サイトの順位付けアルゴリズムを悪用して，キーワードで検索した結果の上位に，悪意のあるサイトを意図的に表示させる。","ウイルス検索エンジンのセキュリティ上の脆弱性を悪用して，システム権限で不正な実行を処理させる。","車などで移動しながら，無線LANのアクセスポイントを探し出して，ネットワークに不正侵入する。","ネットワークを流れるパケットから，不正侵入のパターンに合致するものを検出して，管理者への通知や，検出した内容の記録を行う。","A"
"平成26年春期　問20 251問目／選択範囲の問題数675問","インターネットVPNを実現するために用いられる技術であり，ESP(Encapsulating Security Payload)やAH(Authentication Header)などのプロトコルを含むものはどれか。","","IPsec","MPLS","PPP","SSL","A"
"平成30年秋期　問13 252問目／選択範囲の問題数675問","Webアプリケーションの脆弱性を悪用する攻撃手法のうち，Webページ上で入力した文字列がPerlのsystem関数やPHPのexec関数などに渡されることを利用し，不正にシェルスクリプトを実行させるものは，どれに分類されるか。","","HTTPヘッダインジェクション","OSコマンドインジェクション","クロスサイトリクエストフォージェリ","セッションハイジャック","I"
"平成24年秋期　問12 253問目／選択範囲の問題数675問","ディジタルフォレンジックスを説明したものはどれか。","","画像や音楽などのディジタルコンテンツに著作権者などの情報を埋め込む。","コンピュータやネットワークのセキュリティ上の弱点を発見するテスト手法の一つであり，システムを実際に攻撃して侵入を試みる。","ネットワーク管理者や利用者などから，巧みな話術や盗み聞き，盗み見などの手段によって，パスワードなどのセキュリティ上重要な情報を入手する。","犯罪に対する証拠となり得るデータを保全し，その後の訴訟などに備える。","E"
